CruiseId,"PersonId","FullName","ShortName","InstitutionId","ItemStatus"
oc1307c,"990004","Ye Tian","Ye","UC-Boulder","2"
oc1307c,"990005","Molly O'Neill","Molly","UO","2"
oc1307c,"990006","Christina King","Christina","URI","2"
oc1307c,"990007","Rob Skouman","Rob","UMiami-Ohio","2"
oc1307c,"990008","Alan Gardner","Alan","WHOI","2"
oc1307c,"990009","Tim Kane","Tim","WHOI","2"
oc1307c,"990010","Dan Kot","Dan","WHOI","2"
oc1307c,"990011","Ben Pietro","Ben","WHOI","2"
oc1308B,"990000", "Jeff McGuire", "JeffM", "WHOI", "3"
oc1308B,"990001","Susan Schwartz","SusanS","UCSC","2"
oc1308B,"990002","Yajing Liu","YajingL","McGill","2"
oc1308B,"990003","Harmony Colella","HarmonyC","Univ. of Miami-Ohio","2"
oc1308B,"990004","Xiaowei Chen","XiaoweiC","WHOI","2"
oc1308B,"990005","Martin Pratt","MartinP","Washington Univ.","2"
oc1308B,"990006","Carlos Gutierrez","CarlosG","LDEO","2"
oc1308B,"990007","Carlos Becerril","CarlosB","LDEO","2"
oc1308B,"103698","Gassier, David","dGassier","LDEO","0"
oc1308B,"103741","Koczynski, Ted","tKoczynski","LDEO","0"
oc1308B,"990008","Anatoly Mironov","AnatolyM","UTIG","2"
tn299,"102854","Proskurowski, Giora","gProskurowski","UW"
tn299,"102646","Feldman, Kenneth","kFeldman","UW"
tn299,"100210","Delaney, John","jDelaney","UW"
tn299,"101317","Denny, Gerald","gDenny","UW"
tn299,"102720","Fundis, Allison","aFundis","UW"
tn299,"100033","Kelley, Deborah","dKelley","UW"
tn299,"102733","McNichol, Edward","eMcNichol","UW"
tn299,"100123","Sautter, Leslie","lSautter","Charleston"
tn299,"990000","McGuire, Chuck","cMcGuire","UW"
tn299,"990001","Cram, Geoff","gCram","UW"
tn299,"990002","Nielson, Larry","lNielson","UW"
tn299,"100921","Elend, Mitchell","mElend","UW"
tn299,"105706","Kawka, Orest","oKawka","UW"
tn299,"990003","Durand, Cecile","cDurand","UW"
tn299,"990004","McGinnis, Tim","tMcGinnis","UW"
tn299,"990005","Tilley, James","jTilley","UW"
tn299,"990006","Dosher, Jesse","jDosher","UW"
tn299,"105737","Manalang, Dana","dManalang","UW"
tn299,"100567","Penrose, Nancy","nPenrose","UW"
tn299,"105763","Mulvihill, Michael","mMulvihill","UW"
tn299,"101013","Harrington, Michael","mHarrington","UW"
tn299,"100548","Olson, Eric","eOlson","UW"
tn299,"990007","Waite, Patrick","pWaite","UW"
tn299,"100442","Boget, Eric","eBoget","UW"
tn299,"990008","Coyle, Owen","oCoyle","UW"
tn299,"104576","Vardaro, Michael","mVardaro","OSU"
tn299,"990009","Fayler, Linda","lFayler","OSU"
tn299,"990010","Tecnichan, Marine","marTech","UW","2"
